author,year,journal,doi,location,type,cover,zone,map,map_note,mat,ph,sand,silt,clay,texture_note,tot_n,av_n,tot_p,av_p,som,soc,soc_note,n_fert_class,n_fert_amt,p_fert_amt,irrigated,duration,sample,depth,main,main_cat,inter,inter_cat,n_ctrl,n_trt,ler,yield_rr,yield_lnrr,yield_ler,enz,enz_ec,enz_type,avg_eea_ctrl,stddev_eea_ctrl,avg_eea_trt,stddev_avg_trt,stddev_note,avg_mbc_ctrl,stddev_mbc_ctrl,avg_mbc_trt,stddev_mbc_trt,lnrr_eea,var_lnrr_eea,lnrr_mbc,var_lnrr_mbc,assay_method,assay_soil
Chen et al,2018,Applied Soil Ecology,10.1016/j.apsoil.2017.11.010,China,Pot,Covered,,,,29,6.2,20,43,36,,1.20,40.60,0.25,12.60,,9.70,,Medium,200,52,,2,Rhizosphere,,Peanut,Legume,Maize,Grass,3,3,1.07,0.90,-0.11,1.07,Urease,3.5.1.5,Nitrogen,6.65,0.35,7.43,0.32,,,,,,0.11,0.00,    ,    ,Guan,Fresh
Chen et al,2018,Applied Soil Ecology,10.1016/j.apsoil.2017.11.010,China,Pot,Covered,,,,29,6.2,20,43,36,,1.20,40.60,0.25,12.60,,9.70,,Medium,200,52,,2,Rhizosphere,,Maize,Grass,Peanut,Legume,3,3,1.07,1.33,0.29,1.07,Urease,3.5.1.5,Nitrogen,6.92,0.79,7.43,0.32,,,,,,0.07,0.01,    ,    ,Guan,Fresh
Chen et al,2018,Applied Soil Ecology,10.1016/j.apsoil.2017.11.010,China,Pot,Covered,,,,29,6.2,20,43,36,,1.20,40.60,0.25,12.60,,9.70,,Medium,200,52,,2,Rhizosphere,,Peanut,Legume,Maize,Grass,3,3,1.07,0.90,-0.11,1.07,Invertase,3.2.1.26,Carbon,44.67,3.52,61.46,7.50,,,,,,0.32,0.01,    ,    ,Guan,Fresh
Chen et al,2018,Applied Soil Ecology,10.1016/j.apsoil.2017.11.010,China,Pot,Covered,,,,29,6.2,20,43,36,,1.20,40.60,0.25,12.60,,9.70,,Medium,200,52,,2,Rhizosphere,,Maize,Grass,Peanut,Legume,3,3,1.07,1.33,0.29,1.07,Invertase,3.2.1.26,Carbon,59.42,5.86,61.46,7.50,,,,,,0.03,0.01,    ,    ,Guan,Fresh
Chen et al,2018,Applied Soil Ecology,10.1016/j.apsoil.2017.11.010,China,Pot,Covered,,,,29,6.2,20,43,36,,1.20,40.60,0.25,12.60,,9.70,,Medium,200,52,,2,Rhizosphere,,Peanut,Legume,Maize,Grass,3,3,1.07,0.90,-0.11,1.07,Acid phosphatase,3.1.3.2,Phosphorous,312.01,18.75,369.09,10.23,,,,,,0.17,0.00,    ,    ,PNP,Fresh
Chen et al,2018,Applied Soil Ecology,10.1016/j.apsoil.2017.11.010,China,Pot,Covered,,,,29,6.2,20,43,36,,1.20,40.60,0.25,12.60,,9.70,,Medium,200,52,,2,Rhizosphere,,Maize,Grass,Peanut,Legume,3,3,1.07,1.33,0.29,1.07,Acid phosphatase,3.1.3.2,Phosphorous,335.63,11.93,368.11,11.93,,,,,,0.09,0.00,    ,    ,PNP,Fresh
Li et al,2018,Int. J. Mol. Sci.,10.3390/ijms19020622,China,Pot,Covered,,,,,5.5,20,43,36,,1.12,36.15,0.47,8.23,,9.70,,Low,12,150,,2,Rhizosphere,,Peanut,Legume,Maize,Grass,3,3,1.11,1.09,0.08,1.11,Urease,3.5.1.5,Nitrogen,5.82,0.37,7.66,0.65,,,,,,0.28,0.00,    ,    ,Guan,Fresh
Li et al,2018,Int. J. Mol. Sci.,10.3390/ijms19020622,China,Pot,Covered,,,,,5.5,20,43,36,,1.12,36.15,0.47,8.23,,9.70,,Low,12,150,,2,Rhizosphere,,Maize,Grass,Peanut,Legume,3,3,1.11,1.25,0.23,1.11,Urease,3.5.1.5,Nitrogen,7.66,0.21,8.62,0.21,,,,,,0.12,0.00,    ,    ,Guan,Fresh
Li et al,2018,Int. J. Mol. Sci.,10.3390/ijms19020622,China,Pot,Covered,,,,,5.5,20,43,36,,1.12,36.15,0.47,8.23,,9.70,,Low,12,150,,2,Rhizosphere,,Peanut,Legume,Maize,Grass,3,3,1.11,1.09,0.08,1.11,Invertase,3.2.1.26,Carbon,25.06,5.01,42.13,7.16,,,,,,0.52,0.02,    ,    ,Guan,Fresh
Li et al,2018,Int. J. Mol. Sci.,10.3390/ijms19020622,China,Pot,Covered,,,,,5.5,20,43,36,,1.12,36.15,0.47,8.23,,9.70,,Low,12,150,,2,Rhizosphere,,Maize,Grass,Peanut,Legume,3,3,1.11,1.25,0.23,1.11,Invertase,3.2.1.26,Carbon,63.75,8.35,46.95,4.53,,,,,,-0.31,0.01,    ,    ,Guan,Fresh
Li et al,2018,Int. J. Mol. Sci.,10.3390/ijms19020622,China,Pot,Covered,,,,,5.5,20,43,36,,1.12,36.15,0.47,8.23,,9.70,,Low,12,150,,2,Rhizosphere,,Peanut,Legume,Maize,Grass,3,3,1.11,1.09,0.08,1.11,Acid phosphatase,3.1.3.2,Phosphorous,412.45,31.22,444.64,11.15,,,,,,0.08,0.00,    ,    ,PNP,Fresh
Li et al,2018,Int. J. Mol. Sci.,10.3390/ijms19020622,China,Pot,Covered,,,,,5.5,20,43,36,,1.12,36.15,0.47,8.23,,9.70,,Low,12,150,,2,Rhizosphere,,Maize,Grass,Peanut,Legume,3,3,1.11,1.25,0.23,1.11,Acid phosphatase,3.1.3.2,Phosphorous,366.74,21.19,445.92,39.03,,,,,,0.20,0.00,    ,    ,PNP,Fresh
Solanki et al,2016,Sugar Tech,10.1007/s12355-016-0445-y,China,Field,Field,Tropical,1302,a,,4.53,33,21,46,b,0.87,6.31,0.91,19.20,16.90,9.80,c,,,,,,Bulk,30,Sugarcane,Grass,Peanut,Legume,3,3,,,,,Urease,3.5.1.5,Nitrogen,7.80,0.03,6.76,0.55,,,,,,-0.14,0.00,    ,    ,,
Solanki et al,2016,Sugar Tech,10.1007/s12355-016-0445-y,China,Field,Field,Tropical,1302,a,,4.53,33,21,46,b,0.87,6.31,0.91,19.20,16.90,9.80,c,,,,,,Bulk,30,Sugarcane,Grass,Soybean,Legume,3,3,,,,,Urease,3.5.1.5,Nitrogen,7.80,0.03,4.22,0.74,,,,,,-0.61,0.01,    ,    ,,
Solanki et al,2016,Sugar Tech,10.1007/s12355-016-0445-y,China,Field,Field,Tropical,1302,a,,4.77,33,21,46,b,1.20,36.96,0.72,78.10,20.74,12.03,c,,,,,,Bulk,30,Sugarcane,Grass,Peanut,Legume,6,3,,,,,Urease,3.5.1.5,Nitrogen,8.15,21.34,2.62,0.80,,,,,,-1.14,1.17,    ,    ,,
Solanki et al,2016,Sugar Tech,10.1007/s12355-016-0445-y,China,Field,Field,Tropical,1302,a,,4.54,33,21,46,b,1.37,15.72,0.97,127.20,25.07,14.54,c,,,,,,Bulk,30,Sugarcane,Grass,Soybean,Legume,6,3,,,,,Urease,3.5.1.5,Nitrogen,8.15,21.34,5.04,0.29,,,,,,-0.48,1.14,    ,    ,,
Solanki et al,2016,Sugar Tech,10.1007/s12355-016-0445-y,China,Field,Field,Tropical,1302,a,,5.59,55,20,25,b,1.62,21.31,1.21,39.81,29.85,17.31,c,,,,,,Bulk,30,Sugarcane,Grass,Peanut,Legume,3,3,,,,,Urease,3.5.1.5,Nitrogen,9.86,0.07,6.70,0.78,,,,,,-0.39,0.01,    ,    ,,
Solanki et al,2016,Sugar Tech,10.1007/s12355-016-0445-y,China,Field,Field,Tropical,1302,a,,6.01,55,20,25,b,1.18,18.66,1.02,19.73,25.51,14.80,c,,,,,,Bulk,30,Sugarcane,Grass,Soybean,Legume,3,3,,,,,Urease,3.5.1.5,Nitrogen,3.77,0.16,7.07,0.87,,,,,,0.63,0.01,    ,    ,,
Solanki et al,2016,Sugar Tech,10.1007/s12355-016-0445-y,China,Field,Field,Tropical,1302,a,,4.53,33,21,46,b,0.87,6.31,0.91,19.20,16.90,9.80,c,,,,,,Bulk,30,Sugarcane,Grass,Peanut,Legume,3,3,,,,,Protease,3.4.-,Nitrogen,220.36,24.02,364.75,30.81,,,,,,0.50,0.01,    ,    ,,
Solanki et al,2016,Sugar Tech,10.1007/s12355-016-0445-y,China,Field,Field,Tropical,1302,a,,4.53,33,21,46,b,0.87,6.31,0.91,19.20,16.90,9.80,c,,,,,,Bulk,30,Sugarcane,Grass,Soybean,Legume,3,3,,,,,Protease,3.4.-,Nitrogen,220.36,24.02,378.30,40.11,,,,,,0.54,0.01,    ,    ,,
Solanki et al,2016,Sugar Tech,10.1007/s12355-016-0445-y,China,Field,Field,Tropical,1302,a,,4.77,33,21,46,b,1.20,36.96,0.72,78.10,20.74,12.03,c,,,,,,Bulk,30,Sugarcane,Grass,Peanut,Legume,3,3,,,,,Protease,3.4.-,Nitrogen,232.01,29.90,310.49,41.34,,,,,,0.29,0.01,    ,    ,,
Solanki et al,2016,Sugar Tech,10.1007/s12355-016-0445-y,China,Field,Field,Tropical,1302,a,,4.54,33,21,46,b,1.37,15.72,0.97,127.20,25.07,14.54,c,,,,,,Bulk,30,Sugarcane,Grass,Soybean,Legume,3,3,,,,,Protease,3.4.-,Nitrogen,232.01,29.90,280.19,34.16,,,,,,0.19,0.01,    ,    ,,
Solanki et al,2016,Sugar Tech,10.1007/s12355-016-0445-y,China,Field,Field,Tropical,1302,a,,5.59,55,20,25,b,1.62,21.31,1.21,39.81,29.85,17.31,c,,,,,,Bulk,30,Sugarcane,Grass,Peanut,Legume,3,3,,,,,Protease,3.4.-,Nitrogen,344.65,31.51,347.85,40.39,,,,,,0.01,0.01,    ,    ,,
Solanki et al,2016,Sugar Tech,10.1007/s12355-016-0445-y,China,Field,Field,Tropical,1302,a,,6.01,55,20,25,b,1.18,18.66,1.02,19.73,25.51,14.80,c,,,,,,Bulk,30,Sugarcane,Grass,Soybean,Legume,3,3,,,,,Protease,3.4.-,Nitrogen,286.46,27.59,367.25,9.04,,,,,,0.25,0.00,    ,    ,,
Solanki et al,2016,Sugar Tech,10.1007/s12355-016-0445-y,China,Field,Field,Tropical,1302,a,,4.53,33,21,46,b,0.87,6.31,0.91,19.20,16.90,9.80,c,,,,,,Bulk,30,Sugarcane,Grass,Peanut,Legume,3,3,,,,,Dehydrogenase,1.1.1.-,General,9.33,0.48,11.35,0.88,,,,,,0.20,0.00,    ,    ,,
Solanki et al,2016,Sugar Tech,10.1007/s12355-016-0445-y,China,Field,Field,Tropical,1302,a,,4.53,33,21,46,b,0.87,6.31,0.91,19.20,16.90,9.80,c,,,,,,Bulk,30,Sugarcane,Grass,Soybean,Legume,3,3,,,,,Dehydrogenase,1.1.1.-,General,9.33,0.48,19.12,0.92,,,,,,0.72,0.00,    ,    ,,
Solanki et al,2016,Sugar Tech,10.1007/s12355-016-0445-y,China,Field,Field,Tropical,1302,a,,4.77,33,21,46,b,1.20,36.96,0.72,78.10,20.74,12.03,c,,,,,,Bulk,30,Sugarcane,Grass,Peanut,Legume,3,3,,,,,Dehydrogenase,1.1.1.-,General,14.53,1.08,15.41,0.73,,,,,,0.06,0.00,    ,    ,,
Solanki et al,2016,Sugar Tech,10.1007/s12355-016-0445-y,China,Field,Field,Tropical,1302,a,,4.54,33,21,46,b,1.37,15.72,0.97,127.20,25.07,14.54,c,,,,,,Bulk,30,Sugarcane,Grass,Soybean,Legume,3,3,,,,,Dehydrogenase,1.1.1.-,General,14.53,1.08,21.33,1.33,,,,,,0.38,0.00,    ,    ,,
Solanki et al,2016,Sugar Tech,10.1007/s12355-016-0445-y,China,Field,Field,Tropical,1302,a,,5.59,55,20,25,b,1.62,21.31,1.21,39.81,29.85,17.31,c,,,,,,Bulk,30,Sugarcane,Grass,Peanut,Legume,3,3,,,,,Dehydrogenase,1.1.1.-,General,15.44,2.42,17.30,2.51,,,,,,0.11,0.02,    ,    ,,
Solanki et al,2016,Sugar Tech,10.1007/s12355-016-0445-y,China,Field,Field,Tropical,1302,a,,6.01,55,20,25,b,1.18,18.66,1.02,19.73,25.51,14.80,c,,,,,,Bulk,30,Sugarcane,Grass,Soybean,Legume,3,3,,,,,Dehydrogenase,1.1.1.-,General,14.24,0.48,20.68,1.37,,,,,,0.37,0.00,    ,    ,,
Li et al,2016,Journal of Integrative Agriculture,10.1016/S2095-3119(15)61089-9,China,Pot,Covered,,,,,5.51,20,43,36,,1.23,40.65,0.49,12.62,10.61,6.15,c,Low,12,150,Yes,1,Rhizosphere,,Peanut,Legume,Maize,Grass,3,3,,0.91,-0.09,0.91,Urease,3.5.1.5,Nitrogen,59.55,7.20,81.85,8.81,d,134.09,,166.63,,0.32,0.01,0.22,    ,Guan,Air dried
Li et al,2016,Journal of Integrative Agriculture,10.1016/S2095-3119(15)61089-9,China,Pot,Covered,,,,,5.51,20,43,36,,1.23,40.65,0.49,12.62,10.61,6.15,c,Low,12,150,Yes,1,Rhizosphere,,Maize,Grass,Peanut,Legume,3,3,,1.25,0.22,1.25,Urease,3.5.1.5,Nitrogen,53.62,6.48,77.75,8.37,d,152.59,,177.06,,0.37,0.01,0.15,    ,Guan,Air dried
Li et al,2016,Journal of Integrative Agriculture,10.1016/S2095-3119(15)61089-9,China,Pot,Covered,,,,,5.51,20,43,36,,1.23,40.65,0.49,12.62,10.61,6.15,c,Low,12,150,Yes,1,Rhizosphere,,Peanut,Legume,Maize,Grass,3,3,,0.91,-0.09,0.91,Invertase,3.2.1.26,Carbon,25.20,3.05,35.06,3.77,d,134.09,,166.63,,0.33,0.01,0.22,    ,Guan,Air dried
Li et al,2016,Journal of Integrative Agriculture,10.1016/S2095-3119(15)61089-9,China,Pot,Covered,,,,,5.51,20,43,36,,1.23,40.65,0.49,12.62,10.61,6.15,c,Low,12,150,Yes,1,Rhizosphere,,Maize,Grass,Peanut,Legume,3,3,,1.25,0.22,1.25,Invertase,3.2.1.26,Carbon,83.75,10.13,46.96,5.05,d,152.59,,177.06,,-0.58,0.01,0.15,    ,Guan,Air dried
Li et al,2016,Journal of Integrative Agriculture,10.1016/S2095-3119(15)61089-9,China,Pot,Covered,,,,,5.51,20,43,36,,1.23,40.65,0.49,12.62,10.61,6.15,c,Low,12,150,Yes,1,Rhizosphere,,Peanut,Legume,Maize,Grass,3,3,,0.91,-0.09,0.91,Phosphatase,3.1.3.-,Phosphorous,412.61,49.90,443.89,47.77,d,134.09,,166.63,,0.07,0.01,0.22,    ,PNP,Air dried
Li et al,2016,Journal of Integrative Agriculture,10.1016/S2095-3119(15)61089-9,China,Pot,Covered,,,,,5.51,20,43,36,,1.23,40.65,0.49,12.62,10.61,6.15,c,Low,12,150,Yes,1,Rhizosphere,,Maize,Grass,Peanut,Legume,3,3,,1.25,0.22,1.25,Phosphatase,3.1.3.-,Phosphorous,366.81,44.36,445.19,47.91,d,152.59,,177.06,,0.19,0.01,0.15,    ,PNP,Air dried
Li et al,2016,Journal of Integrative Agriculture,10.1016/S2095-3119(15)61089-9,China,Pot,Covered,,,,,5.51,20,43,36,,1.23,40.65,0.49,12.62,10.61,6.15,c,Low,12,150,Yes,1,Rhizosphere,,Peanut,Legume,Maize,Grass,3,3,,0.91,-0.09,0.91,Phenoloxidase,1.10.3.2,Oxidative,257.13,31.10,359.21,38.66,d,134.09,,166.63,,0.33,0.01,0.22,    ,ABTS,Air dried
Li et al,2016,Journal of Integrative Agriculture,10.1016/S2095-3119(15)61089-9,China,Pot,Covered,,,,,5.51,20,43,36,,1.23,40.65,0.49,12.62,10.61,6.15,c,Low,12,150,Yes,1,Rhizosphere,,Maize,Grass,Peanut,Legume,3,3,,1.25,0.22,1.25,Phenoloxidase,1.10.3.2,Oxidative,590.18,71.37,311.24,33.49,d,152.59,,177.06,,-0.64,0.01,0.15,    ,ABTS,Air dried
Li et al,2016,Journal of Integrative Agriculture,10.1016/S2095-3119(15)61089-9,China,Pot,Covered,,,,,5.51,20,43,36,,1.23,40.65,0.49,12.62,10.61,6.15,c,Low,12,150,Yes,1,Rhizosphere,,Peanut,Legume,Maize,Grass,3,3,,0.91,-0.09,0.91,Peroxidase,1.11.1.7,Oxidative,251.24,30.38,267.81,28.82,d,134.09,,166.63,,0.06,0.01,0.22,    ,Pyrogallic acid,Air dried
Li et al,2016,Journal of Integrative Agriculture,10.1016/S2095-3119(15)61089-9,China,Pot,Covered,,,,,5.51,20,43,36,,1.23,40.65,0.49,12.62,10.61,6.15,c,Low,12,150,Yes,1,Rhizosphere,,Maize,Grass,Peanut,Legume,3,3,,1.25,0.22,1.25,Peroxidase,1.11.1.7,Oxidative,260.32,31.48,277.82,29.90,d,152.59,,177.06,,0.07,0.01,0.15,    ,Pyrogallic acid,Air dried
Khan et al,2014,Pak. J. Agri. Sci,WOS: 000337271400020,China,Pot,Covered,,,,,6.2,,,,,0.92,55.53,0.38,14.66,,,,Medium,175,,,1,Bulk,,Maize,Grass,Peanut,Legume,6,6,,,,,Urease,3.5.1.5,Nitrogen,6.05,0.73,8.09,0.87,d,3.68,0.96,3.79,0.96,0.29,0.00,0.03,0.02,Guan,Air dried
Khan et al,2014,Pak. J. Agri. Sci,WOS: 000337271400020,China,Pot,Covered,,,,,6.2,,,,,0.92,55.53,0.38,14.66,,,,Low,100,,,1,Bulk,,Maize,Grass,Peanut,Legume,3,3,,,,,Urease,3.5.1.5,Nitrogen,6.91,0.84,7.03,0.76,d,3.68,0.68,3.56,0.68,0.02,0.01,-0.03,0.02,Guan,Air dried
Khan et al,2014,Pak. J. Agri. Sci,WOS: 000337271400020,China,Pot,Covered,,,,,6.2,,,,,0.92,55.53,0.38,14.66,,,,Medium,200,,,1,Bulk,,Peanut,Legume,Maize,Grass,3,3,,,,,Urease,3.5.1.5,Nitrogen,5.85,0.71,7.82,0.84,d,3.43,0.68,5.09,0.68,0.29,0.01,0.40,0.02,Guan,Air dried
Khan et al,2014,Pak. J. Agri. Sci,WOS: 000337271400020,China,Pot,Covered,,,,,6.2,,,,,0.92,55.53,0.38,14.66,,,,Medium,150,,,1,Bulk,,Peanut,Legume,Maize,Grass,3,3,,,,,Urease,3.5.1.5,Nitrogen,5.61,0.68,8.36,0.90,d,3.43,0.68,3.79,0.68,0.40,0.01,0.10,0.02,Guan,Air dried
Khan et al,2014,Pak. J. Agri. Sci,WOS: 000337271400020,China,Pot,Covered,,,,,6.2,,,,,0.92,55.53,0.38,14.66,,,,Low,100,,,1,Bulk,,Peanut,Legume,Maize,Grass,3,3,,,,,Urease,3.5.1.5,Nitrogen,5.97,0.72,7.03,0.76,d,3.43,0.68,3.56,0.68,0.16,0.01,0.04,0.03,Guan,Air dried
Khan et al,2014,Pak. J. Agri. Sci,WOS: 000337271400020,China,Pot,Covered,,,,,6.2,,,,,0.92,55.53,0.38,14.66,,,,Medium,200,,,1,Bulk,,Maize,Grass,Peanut,Legume,3,3,,,,,Invertase,3.2.1.26,Carbon,55.34,6.69,45.70,4.92,d,3.68,0.68,5.09,0.68,-0.19,0.01,0.32,0.02,Guan,Air dried
Khan et al,2014,Pak. J. Agri. Sci,WOS: 000337271400020,China,Pot,Covered,,,,,6.2,,,,,0.92,55.53,0.38,14.66,,,,Medium,200,,,1,Bulk,,Peanut,Legume,Maize,Grass,3,3,,,,,Invertase,3.2.1.26,Carbon,41.47,5.02,45.70,4.92,d,3.43,0.68,5.09,0.68,0.10,0.01,0.40,0.02,Guan,Air dried
Khan et al,2014,Pak. J. Agri. Sci,WOS: 000337271400020,China,Pot,Covered,,,,,6.2,,,,,0.92,55.53,0.38,14.66,,,,Medium,150,,,1,Bulk,,Maize,Grass,Peanut,Legume,3,3,,,,,Invertase,3.2.1.26,Carbon,50.17,6.07,42.86,4.61,d,3.68,0.68,3.79,0.68,-0.16,0.01,0.03,0.02,Guan,Air dried
Khan et al,2014,Pak. J. Agri. Sci,WOS: 000337271400020,China,Pot,Covered,,,,,6.2,,,,,0.92,55.53,0.38,14.66,,,,Medium,150,,,1,Bulk,,Peanut,Legume,Maize,Grass,3,3,,,,,Invertase,3.2.1.26,Carbon,34.56,4.18,42.86,4.61,d,3.43,0.68,3.79,0.68,0.22,0.01,0.10,0.02,Guan,Air dried
Khan et al,2014,Pak. J. Agri. Sci,WOS: 000337271400020,China,Pot,Covered,,,,,6.2,,,,,0.92,55.53,0.38,14.66,,,,Low,100,,,1,Bulk,,Maize,Grass,Peanut,Legume,3,3,,,,,Invertase,3.2.1.26,Carbon,44.70,5.41,42.29,4.55,d,3.68,0.68,3.56,0.68,-0.06,0.01,-0.03,0.02,Guan,Air dried
Khan et al,2014,Pak. J. Agri. Sci,WOS: 000337271400020,China,Pot,Covered,,,,,6.2,,,,,0.92,55.53,0.38,14.66,,,,Low,100,,,1,Bulk,,Peanut,Legume,Maize,Grass,3,3,,,,,Invertase,3.2.1.26,Carbon,32.72,3.96,42.29,4.55,d,3.43,0.68,3.56,0.68,0.26,0.01,0.04,0.03,Guan,Air dried
Khan et al,2014,Pak. J. Agri. Sci,WOS: 000337271400020,China,Pot,Covered,,,,,6.2,,,,,0.92,55.53,0.38,14.66,,,,Medium,200,,,1,Bulk,,Maize,Grass,Peanut,Legume,3,3,,,,,Peroxidase,1.11.1.7,Oxidative,364.16,44.04,290.79,31.29,d,3.68,0.68,5.09,0.68,-0.23,0.01,0.32,0.02,KMnO4,Air dried
Khan et al,2014,Pak. J. Agri. Sci,WOS: 000337271400020,China,Pot,Covered,,,,,6.2,,,,,0.92,55.53,0.38,14.66,,,,Medium,200,,,1,Bulk,,Peanut,Legume,Maize,Grass,3,3,,,,,Peroxidase,1.11.1.7,Oxidative,285.22,34.49,290.79,31.29,d,3.43,0.68,5.09,0.68,0.02,0.01,0.40,0.02,KMnO4,Air dried
Khan et al,2014,Pak. J. Agri. Sci,WOS: 000337271400020,China,Pot,Covered,,,,,6.2,,,,,0.92,55.53,0.38,14.66,,,,Medium,150,,,1,Bulk,,Maize,Grass,Peanut,Legume,3,3,,,,,Peroxidase,1.11.1.7,Oxidative,286.08,34.60,261.67,28.16,d,3.68,0.68,3.79,0.68,-0.09,0.01,0.03,0.02,KMnO4,Air dried
Khan et al,2014,Pak. J. Agri. Sci,WOS: 000337271400020,China,Pot,Covered,,,,,6.2,,,,,0.92,55.53,0.38,14.66,,,,Medium,150,,,1,Bulk,,Peanut,Legume,Maize,Grass,3,3,,,,,Peroxidase,1.11.1.7,Oxidative,257.83,31.18,261.67,28.16,d,3.43,0.68,3.79,0.68,0.02,0.01,0.10,0.02,KMnO4,Air dried
Khan et al,2014,Pak. J. Agri. Sci,WOS: 000337271400020,China,Pot,Covered,,,,,6.2,,,,,0.92,55.53,0.38,14.66,,,,Low,100,,,1,Bulk,,Maize,Grass,Peanut,Legume,3,3,,,,,Peroxidase,1.11.1.7,Oxidative,286.87,34.69,278.83,30.01,d,3.68,0.68,3.56,0.68,-0.03,0.01,-0.03,0.02,KMnO4,Air dried
Khan et al,2014,Pak. J. Agri. Sci,WOS: 000337271400020,China,Pot,Covered,,,,,6.2,,,,,0.92,55.53,0.38,14.66,,,,Low,100,,,1,Bulk,,Peanut,Legume,Maize,Grass,3,3,,,,,Peroxidase,1.11.1.7,Oxidative,292.43,35.36,278.83,30.01,d,3.43,0.68,3.56,0.68,-0.05,0.01,0.04,0.03,KMnO4,Air dried
Khan et al,2014,Pak. J. Agri. Sci,WOS: 000337271400020,China,Pot,Covered,,,,,6.2,,,,,0.92,55.53,0.38,14.66,,,,Medium,200,,,1,Bulk,,Maize,Grass,Peanut,Legume,3,3,,,,,Phosphatase,3.1.3.-,Phosphorous,404.23,48.88,535.92,57.67,d,3.68,0.68,5.09,0.68,0.28,0.01,0.32,0.02,PNP,Air dried
Khan et al,2014,Pak. J. Agri. Sci,WOS: 000337271400020,China,Pot,Covered,,,,,6.2,,,,,0.92,55.53,0.38,14.66,,,,Medium,200,,,1,Bulk,,Peanut,Legume,Maize,Grass,3,3,,,,,Phosphatase,3.1.3.-,Phosphorous,433.84,52.47,535.92,57.67,d,3.43,0.68,5.09,0.68,0.21,0.01,0.40,0.02,PNP,Air dried
Khan et al,2014,Pak. J. Agri. Sci,WOS: 000337271400020,China,Pot,Covered,,,,,6.2,,,,,0.92,55.53,0.38,14.66,,,,Medium,150,,,1,Bulk,,Maize,Grass,Peanut,Legume,3,3,,,,,Phosphatase,3.1.3.-,Phosphorous,403.04,48.74,517.89,55.73,d,3.68,0.68,3.79,0.68,0.25,0.01,0.03,0.02,PNP,Air dried
Khan et al,2014,Pak. J. Agri. Sci,WOS: 000337271400020,China,Pot,Covered,,,,,6.2,,,,,0.92,55.53,0.38,14.66,,,,Medium,150,,,1,Bulk,,Peanut,Legume,Maize,Grass,3,3,,,,,Phosphatase,3.1.3.-,Phosphorous,426.69,51.60,517.89,55.73,d,3.43,0.68,3.79,0.68,0.19,0.01,0.10,0.02,PNP,Air dried
Khan et al,2014,Pak. J. Agri. Sci,WOS: 000337271400020,China,Pot,Covered,,,,,6.2,,,,,0.92,55.53,0.38,14.66,,,,Low,100,,,1,Bulk,,Maize,Grass,Peanut,Legume,3,3,,,,,Phosphatase,3.1.3.-,Phosphorous,465.12,56.25,480.89,51.75,d,3.68,0.68,3.56,0.68,0.03,0.01,-0.03,0.02,PNP,Air dried
Khan et al,2014,Pak. J. Agri. Sci,WOS: 000337271400020,China,Pot,Covered,,,,,6.2,,,,,0.92,55.53,0.38,14.66,,,,Low,100,,,1,Bulk,,Peanut,Legume,Maize,Grass,3,3,,,,,Phosphatase,3.1.3.-,Phosphorous,515.60,62.35,480.89,51.75,d,3.43,0.68,3.56,0.68,-0.07,0.01,0.04,0.03,PNP,Air dried
Khan et al,2014,Pak. J. Agri. Sci,WOS: 000337271400020,China,Pot,Covered,,,,,6.2,,,,,0.92,55.53,0.38,14.66,,,,Medium,200,,,1,Bulk,,Maize,Grass,Peanut,Legume,3,3,,,,,Polyphenoloxidase,1.10.3.1,Oxidative,600.68,72.64,462.52,49.77,d,3.68,0.68,5.09,0.68,-0.26,0.01,0.32,0.02,,Air dried
Khan et al,2014,Pak. J. Agri. Sci,WOS: 000337271400020,China,Pot,Covered,,,,,6.2,,,,,0.92,55.53,0.38,14.66,,,,Medium,200,,,1,Bulk,,Peanut,Legume,Maize,Grass,3,3,,,,,Polyphenoloxidase,1.10.3.1,Oxidative,631.90,76.42,462.52,49.77,d,3.43,0.68,5.09,0.68,-0.31,0.01,0.40,0.02,,Air dried
Khan et al,2014,Pak. J. Agri. Sci,WOS: 000337271400020,China,Pot,Covered,,,,,6.2,,,,,0.92,55.53,0.38,14.66,,,,Medium,150,,,1,Bulk,,Maize,Grass,Peanut,Legume,3,3,,,,,Polyphenoloxidase,1.10.3.1,Oxidative,481.66,58.25,449.60,48.38,d,3.68,0.68,3.79,0.68,-0.07,0.01,0.03,0.02,,Air dried
Khan et al,2014,Pak. J. Agri. Sci,WOS: 000337271400020,China,Pot,Covered,,,,,6.2,,,,,0.92,55.53,0.38,14.66,,,,Medium,150,,,1,Bulk,,Peanut,Legume,Maize,Grass,3,3,,,,,Polyphenoloxidase,1.10.3.1,Oxidative,473.72,57.29,449.60,48.38,d,3.43,0.68,3.79,0.68,-0.05,0.01,0.10,0.02,,Air dried
Khan et al,2014,Pak. J. Agri. Sci,WOS: 000337271400020,China,Pot,Covered,,,,,6.2,,,,,0.92,55.53,0.38,14.66,,,,Low,100,,,1,Bulk,,Maize,Grass,Peanut,Legume,3,3,,,,,Polyphenoloxidase,1.10.3.1,Oxidative,378.03,45.72,502.45,54.07,d,3.68,0.68,3.56,0.68,0.29,0.01,-0.03,0.02,,Air dried
